experiment,model,magnification,feature_set,stain_normalization,num_normal,num_tumour,use_scaling,accuracy_mean,accuracy_std,auc_mean,auc_std,pr_auc_mean,pr_auc_std,precision_mean,precision_std,f1_score_mean,f1_score_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,mcc_mean,mcc_std,accuracy_ci_low,accuracy_ci_high
svm_scaled_color_lbp_no_norm_20img_400x_seed_42,svm,400x,color_lbp,,20,20,True,0.494,0.135,0.514,0.21,0.632,0.149,0.431,0.26,0.438,0.25,0.47,0.292,0.51,0.322,-0.035,0.302,0.439,0.55
svm_scaled_color_lbp_no_norm_89img_100x_seed_42,svm,100x,color_lbp,,89,89,True,0.808,0.065,0.883,0.052,0.903,0.043,0.856,0.08,0.789,0.091,0.752,0.147,0.864,0.091,0.631,0.12,0.781,0.835
svm_scaled_color_lbp_no_norm_full_100x_seed_42,svm,100x,color_lbp,,89,439,True,0.902,0.033,0.948,0.032,0.987,0.014,0.957,0.023,0.94,0.022,0.924,0.04,0.793,0.122,0.681,0.098,0.888,0.916
svm_scaled_color_lbp_no_norm_full_400x_seed_42,svm,400x,color_lbp,,201,495,True,0.84,0.031,0.907,0.027,0.956,0.016,0.911,0.021,0.883,0.025,0.858,0.04,0.797,0.051,0.635,0.062,0.828,0.853
svm_scaled_color_lbp_reinhard_201img_400x_seed_42,svm,400x,color_lbp,reinhard,201,201,True,0.798,0.039,0.874,0.032,0.881,0.035,0.807,0.044,0.793,0.042,0.783,0.06,0.814,0.052,0.599,0.078,0.782,0.815
svm_scaled_color_lbp_reinhard_20img_100x_seed_42,svm,100x,color_lbp,reinhard,20,20,True,0.604,0.162,0.556,0.248,0.667,0.17,0.494,0.357,0.467,0.338,0.48,0.367,0.727,0.294,0.215,0.346,0.538,0.671
svm_scaled_color_lbp_reinhard_20img_400x_seed_42,svm,400x,color_lbp,reinhard,20,20,True,0.494,0.135,0.514,0.21,0.632,0.149,0.431,0.26,0.438,0.25,0.47,0.292,0.51,0.322,-0.035,0.302,0.439,0.55
svm_scaled_color_lbp_reinhard_89img_100x_seed_42,svm,100x,color_lbp,reinhard,89,89,True,0.808,0.065,0.883,0.052,0.903,0.043,0.856,0.08,0.789,0.091,0.752,0.147,0.864,0.091,0.631,0.12,0.781,0.835
svm_scaled_color_lbp_reinhard_full_100x_seed_42,svm,100x,color_lbp,reinhard,89,439,True,0.902,0.033,0.948,0.032,0.987,0.014,0.957,0.023,0.94,0.022,0.924,0.04,0.793,0.122,0.681,0.098,0.888,0.916
svm_scaled_color_lbp_reinhard_full_400x_seed_42,svm,400x,color_lbp,reinhard,201,495,True,0.84,0.031,0.907,0.027,0.956,0.016,0.911,0.021,0.883,0.025,0.858,0.04,0.797,0.051,0.635,0.062,0.828,0.853
svm_scaled_color_no_norm_201img_400x_seed_42,svm,400x,color,,201,201,True,0.779,0.048,0.856,0.05,0.869,0.049,0.802,0.06,0.768,0.055,0.742,0.079,0.816,0.066,0.563,0.095,0.759,0.799
svm_scaled_color_no_norm_20img_100x_seed_42,svm,100x,color,,20,20,True,0.648,0.118,0.589,0.267,0.731,0.172,0.596,0.405,0.484,0.327,0.45,0.339,0.847,0.252,0.324,0.259,0.599,0.696
svm_scaled_color_no_norm_20img_400x_seed_42,svm,400x,color,,20,20,True,0.535,0.141,0.514,0.201,0.625,0.139,0.451,0.277,0.419,0.273,0.41,0.297,0.663,0.24,0.068,0.307,0.477,0.593
svm_scaled_color_no_norm_89img_100x_seed_42,svm,100x,color,,89,89,True,0.757,0.073,0.843,0.06,0.864,0.054,0.794,0.09,0.738,0.087,0.698,0.11,0.813,0.095,0.52,0.144,0.726,0.787
svm_scaled_color_no_norm_full_100x_seed_42,svm,100x,color,,89,439,True,0.752,0.04,0.87,0.031,0.972,0.007,0.955,0.023,0.83,0.033,0.737,0.055,0.825,0.095,0.442,0.063,0.735,0.768
svm_scaled_color_no_norm_full_400x_seed_42,svm,400x,color,,201,495,True,0.8,0.022,0.876,0.028,0.943,0.019,0.901,0.023,0.85,0.019,0.807,0.036,0.784,0.058,0.56,0.046,0.791,0.809
svm_scaled_color_reinhard_201img_400x_seed_42,svm,400x,color,reinhard,201,201,True,0.779,0.048,0.856,0.05,0.869,0.049,0.802,0.06,0.768,0.055,0.742,0.079,0.816,0.066,0.563,0.095,0.759,0.799
svm_scaled_color_reinhard_20img_100x_seed_42,svm,100x,color,reinhard,20,20,True,0.648,0.118,0.589,0.267,0.731,0.172,0.596,0.405,0.484,0.327,0.45,0.339,0.847,0.252,0.324,0.259,0.599,0.696
svm_scaled_color_reinhard_20img_400x_seed_42,svm,400x,color,reinhard,20,20,True,0.535,0.141,0.514,0.201,0.625,0.139,0.451,0.277,0.419,0.273,0.41,0.297,0.663,0.24,0.068,0.307,0.477,0.593
svm_scaled_color_reinhard_89img_100x_seed_42,svm,100x,color,reinhard,89,89,True,0.757,0.073,0.843,0.06,0.864,0.054,0.794,0.09,0.738,0.087,0.698,0.11,0.813,0.095,0.52,0.144,0.726,0.787
svm_scaled_color_reinhard_full_100x_seed_42,svm,100x,color,reinhard,89,439,True,0.752,0.04,0.87,0.031,0.972,0.007,0.955,0.023,0.83,0.033,0.737,0.055,0.825,0.095,0.442,0.063,0.735,0.768
svm_scaled_color_reinhard_full_400x_seed_42,svm,400x,color,reinhard,201,495,True,0.8,0.022,0.876,0.028,0.943,0.019,0.901,0.023,0.85,0.019,0.807,0.036,0.784,0.058,0.56,0.046,0.791,0.809
svm_scaled_haralick_no_norm_201img_400x_seed_42,svm,400x,haralick,,201,201,True,0.674,0.048,0.744,0.056,0.74,0.07,0.669,0.061,0.679,0.045,0.695,0.063,0.654,0.093,0.352,0.096,0.654,0.694
svm_scaled_haralick_no_norm_20img_100x_seed_42,svm,100x,haralick,,20,20,True,0.514,0.08,0.407,0.229,0.569,0.161,0.249,0.325,0.241,0.307,0.26,0.342,0.763,0.312,0.026,0.179,0.481,0.547
svm_scaled_haralick_no_norm_20img_400x_seed_42,svm,400x,haralick,,20,20,True,0.571,0.115,0.352,0.227,0.552,0.131,0.291,0.347,0.316,0.37,0.36,0.427,0.763,0.327,0.141,0.26,0.523,0.618
svm_scaled_haralick_no_norm_89img_100x_seed_42,svm,100x,haralick,,89,89,True,0.735,0.058,0.804,0.067,0.828,0.058,0.753,0.095,0.73,0.058,0.729,0.114,0.741,0.143,0.483,0.117,0.711,0.759
svm_scaled_haralick_no_norm_full_100x_seed_42,svm,100x,haralick,,89,439,True,0.782,0.041,0.838,0.048,0.962,0.012,0.936,0.026,0.857,0.031,0.793,0.055,0.725,0.132,0.429,0.094,0.765,0.798
svm_scaled_haralick_no_norm_full_400x_seed_42,svm,400x,haralick,,201,495,True,0.693,0.034,0.764,0.038,0.883,0.029,0.835,0.031,0.764,0.03,0.706,0.043,0.664,0.075,0.344,0.071,0.68,0.707
svm_scaled_haralick_reinhard_201img_400x_seed_42,svm,400x,haralick,reinhard,201,201,True,0.674,0.048,0.744,0.056,0.74,0.07,0.669,0.061,0.679,0.045,0.695,0.063,0.654,0.093,0.352,0.096,0.654,0.694
svm_scaled_haralick_reinhard_20img_100x_seed_42,svm,100x,haralick,reinhard,20,20,True,0.514,0.08,0.407,0.229,0.569,0.161,0.249,0.325,0.241,0.307,0.26,0.342,0.763,0.312,0.026,0.179,0.481,0.547
svm_scaled_haralick_reinhard_20img_400x_seed_42,svm,400x,haralick,reinhard,20,20,True,0.571,0.115,0.352,0.227,0.552,0.131,0.291,0.347,0.316,0.37,0.36,0.427,0.763,0.327,0.141,0.26,0.523,0.618
svm_scaled_haralick_reinhard_89img_100x_seed_42,svm,100x,haralick,reinhard,89,89,True,0.735,0.058,0.804,0.067,0.828,0.058,0.753,0.095,0.73,0.058,0.729,0.114,0.741,0.143,0.483,0.117,0.711,0.759
svm_scaled_haralick_reinhard_full_100x_seed_42,svm,100x,haralick,reinhard,89,439,True,0.782,0.041,0.838,0.048,0.962,0.012,0.936,0.026,0.857,0.031,0.793,0.055,0.725,0.132,0.429,0.094,0.765,0.798
svm_scaled_haralick_reinhard_full_400x_seed_42,svm,400x,haralick,reinhard,201,495,True,0.693,0.034,0.764,0.038,0.883,0.029,0.835,0.031,0.764,0.03,0.706,0.043,0.664,0.075,0.344,0.071,0.68,0.707
svm_scaled_lbp_haralick_no_norm_201img_400x_seed_42,svm,400x,lbp_haralick,,201,201,True,0.746,0.046,0.83,0.04,0.829,0.056,0.748,0.052,0.742,0.05,0.742,0.077,0.751,0.066,0.495,0.093,0.727,0.765
svm_scaled_lbp_haralick_no_norm_20img_100x_seed_42,svm,100x,lbp_haralick,,20,20,True,0.774,0.157,0.843,0.134,0.9,0.086,0.807,0.172,0.779,0.145,0.77,0.16,0.777,0.227,0.555,0.322,0.709,0.839
svm_scaled_lbp_haralick_no_norm_20img_400x_seed_42,svm,400x,lbp_haralick,,20,20,True,0.571,0.166,0.572,0.24,0.693,0.169,0.545,0.233,0.556,0.234,0.6,0.289,0.533,0.278,0.152,0.349,0.502,0.639
svm_scaled_lbp_haralick_no_norm_89img_100x_seed_42,svm,100x,lbp_haralick,,89,89,True,0.773,0.062,0.859,0.069,0.88,0.064,0.823,0.08,0.75,0.08,0.702,0.129,0.844,0.081,0.559,0.123,0.747,0.798
svm_scaled_lbp_haralick_no_norm_full_100x_seed_42,svm,100x,lbp_haralick,,89,439,True,0.854,0.031,0.915,0.033,0.982,0.007,0.95,0.029,0.908,0.02,0.871,0.04,0.765,0.145,0.564,0.098,0.841,0.866
svm_scaled_lbp_haralick_no_norm_full_400x_seed_42,svm,400x,lbp_haralick,,201,495,True,0.78,0.031,0.843,0.034,0.923,0.027,0.881,0.031,0.836,0.023,0.796,0.031,0.739,0.076,0.509,0.074,0.767,0.792
svm_scaled_lbp_haralick_reinhard_201img_400x_seed_42,svm,400x,lbp_haralick,reinhard,201,201,True,0.746,0.046,0.83,0.04,0.829,0.056,0.748,0.052,0.742,0.05,0.742,0.077,0.751,0.066,0.495,0.093,0.727,0.765
svm_scaled_lbp_haralick_reinhard_20img_100x_seed_42,svm,100x,lbp_haralick,reinhard,20,20,True,0.774,0.157,0.843,0.134,0.9,0.086,0.807,0.172,0.779,0.145,0.77,0.16,0.777,0.227,0.555,0.322,0.709,0.839
svm_scaled_lbp_haralick_reinhard_20img_400x_seed_42,svm,400x,lbp_haralick,reinhard,20,20,True,0.571,0.166,0.572,0.24,0.693,0.169,0.545,0.233,0.556,0.234,0.6,0.289,0.533,0.278,0.152,0.349,0.502,0.639
svm_scaled_lbp_haralick_reinhard_89img_100x_seed_42,svm,100x,lbp_haralick,reinhard,89,89,True,0.773,0.062,0.859,0.069,0.88,0.064,0.823,0.08,0.75,0.08,0.702,0.129,0.844,0.081,0.559,0.123,0.747,0.798
svm_scaled_lbp_haralick_reinhard_full_100x_seed_42,svm,100x,lbp_haralick,reinhard,89,439,True,0.854,0.031,0.915,0.033,0.982,0.007,0.95,0.029,0.908,0.02,0.871,0.04,0.765,0.145,0.564,0.098,0.841,0.866
svm_scaled_lbp_haralick_reinhard_full_400x_seed_42,svm,400x,lbp_haralick,reinhard,201,495,True,0.78,0.031,0.843,0.034,0.923,0.027,0.881,0.031,0.836,0.023,0.796,0.031,0.739,0.076,0.509,0.074,0.767,0.792
svm_scaled_lbp_no_norm_201img_400x_seed_42,svm,400x,lbp,,201,201,True,0.687,0.04,0.766,0.05,0.775,0.052,0.671,0.048,0.7,0.037,0.736,0.063,0.638,0.081,0.379,0.081,0.67,0.704
svm_scaled_lbp_no_norm_20img_100x_seed_42,svm,100x,lbp,,20,20,True,0.708,0.161,0.769,0.149,0.849,0.104,0.695,0.277,0.687,0.242,0.71,0.267,0.703,0.279,0.437,0.331,0.642,0.774
svm_scaled_lbp_no_norm_20img_400x_seed_42,svm,400x,lbp,,20,20,True,0.521,0.17,0.419,0.221,0.576,0.143,0.449,0.24,0.502,0.273,0.59,0.345,0.44,0.329,0.027,0.385,0.451,0.591
svm_scaled_lbp_no_norm_89img_100x_seed_42,svm,100x,lbp,,89,89,True,0.717,0.069,0.782,0.076,0.822,0.062,0.738,0.087,0.703,0.078,0.683,0.116,0.75,0.107,0.441,0.139,0.688,0.745
svm_scaled_lbp_no_norm_full_100x_seed_42,svm,100x,lbp,,89,439,True,0.764,0.041,0.852,0.041,0.966,0.014,0.948,0.026,0.841,0.033,0.758,0.056,0.792,0.116,0.44,0.077,0.747,0.781
svm_scaled_lbp_no_norm_full_400x_seed_42,svm,400x,lbp,,201,495,True,0.736,0.033,0.808,0.03,0.903,0.019,0.853,0.027,0.802,0.028,0.758,0.044,0.683,0.068,0.418,0.068,0.723,0.75
svm_scaled_lbp_reinhard_201img_400x_seed_42,svm,400x,lbp,reinhard,201,201,True,0.687,0.04,0.766,0.05,0.775,0.052,0.671,0.048,0.7,0.037,0.736,0.063,0.638,0.081,0.379,0.081,0.67,0.704
svm_scaled_lbp_reinhard_20img_100x_seed_42,svm,100x,lbp,reinhard,20,20,True,0.708,0.161,0.769,0.149,0.849,0.104,0.695,0.277,0.687,0.242,0.71,0.267,0.703,0.279,0.437,0.331,0.642,0.774
svm_scaled_lbp_reinhard_20img_400x_seed_42,svm,400x,lbp,reinhard,20,20,True,0.521,0.17,0.419,0.221,0.576,0.143,0.449,0.24,0.502,0.273,0.59,0.345,0.44,0.329,0.027,0.385,0.451,0.591
svm_scaled_lbp_reinhard_89img_100x_seed_42,svm,100x,lbp,reinhard,89,89,True,0.717,0.069,0.782,0.076,0.822,0.062,0.738,0.087,0.703,0.078,0.683,0.116,0.75,0.107,0.441,0.139,0.688,0.745
svm_scaled_lbp_reinhard_full_100x_seed_42,svm,100x,lbp,reinhard,89,439,True,0.764,0.041,0.852,0.041,0.966,0.014,0.948,0.026,0.841,0.033,0.758,0.056,0.792,0.116,0.44,0.077,0.747,0.781
svm_scaled_lbp_reinhard_full_400x_seed_42,svm,400x,lbp,reinhard,201,495,True,0.736,0.033,0.808,0.03,0.903,0.019,0.853,0.027,0.802,0.028,0.758,0.044,0.683,0.068,0.418,0.068,0.723,0.75
svm_unscaled_all_no_norm_201img_400x_seed_42,svm,400x,all,,201,201,False,0.772,0.044,0.841,0.045,0.815,0.076,0.767,0.05,0.772,0.048,0.783,0.077,0.762,0.068,0.548,0.089,0.754,0.79
svm_unscaled_all_no_norm_20img_100x_seed_42,svm,100x,all,,20,20,False,0.606,0.126,0.588,0.196,0.714,0.139,0.406,0.414,0.365,0.37,0.37,0.403,0.843,0.237,0.239,0.273,0.554,0.658
svm_unscaled_all_no_norm_20img_400x_seed_42,svm,400x,all,,20,20,False,0.453,0.144,0.448,0.222,0.593,0.153,0.221,0.271,0.208,0.267,0.21,0.295,0.7,0.303,-0.104,0.312,0.394,0.512
svm_unscaled_all_no_norm_89img_100x_seed_42,svm,100x,all,,89,89,False,0.763,0.063,0.836,0.064,0.852,0.065,0.789,0.074,0.75,0.074,0.723,0.107,0.801,0.09,0.532,0.126,0.738,0.789
svm_unscaled_all_no_norm_full_100x_seed_42,svm,100x,all,,89,439,False,0.779,0.035,0.86,0.033,0.968,0.012,0.946,0.02,0.854,0.027,0.78,0.052,0.776,0.095,0.452,0.055,0.765,0.793
svm_unscaled_all_no_norm_full_400x_seed_42,svm,400x,all,,201,495,False,0.805,0.027,0.861,0.037,0.928,0.03,0.878,0.028,0.859,0.022,0.843,0.047,0.714,0.086,0.547,0.06,0.794,0.816
svm_unscaled_all_reinhard_201img_400x_seed_42,svm,400x,all,reinhard,201,201,False,0.772,0.044,0.841,0.045,0.815,0.076,0.767,0.05,0.772,0.048,0.783,0.077,0.762,0.068,0.548,0.089,0.754,0.79
svm_unscaled_all_reinhard_20img_100x_seed_42,svm,100x,all,reinhard,20,20,False,0.606,0.126,0.588,0.196,0.714,0.139,0.406,0.414,0.365,0.37,0.37,0.403,0.843,0.237,0.239,0.273,0.554,0.658
svm_unscaled_all_reinhard_20img_400x_seed_42,svm,400x,all,reinhard,20,20,False,0.453,0.144,0.448,0.222,0.593,0.153,0.221,0.271,0.208,0.267,0.21,0.295,0.7,0.303,-0.104,0.312,0.394,0.512
svm_unscaled_all_reinhard_89img_100x_seed_42,svm,100x,all,reinhard,89,89,False,0.763,0.063,0.836,0.064,0.852,0.065,0.789,0.074,0.75,0.074,0.723,0.107,0.801,0.09,0.532,0.126,0.738,0.789
svm_unscaled_all_reinhard_full_100x_seed_42,svm,100x,all,reinhard,89,439,False,0.779,0.035,0.86,0.033,0.968,0.012,0.946,0.02,0.854,0.027,0.78,0.052,0.776,0.095,0.452,0.055,0.765,0.793
svm_unscaled_all_reinhard_full_400x_seed_42,svm,400x,all,reinhard,201,495,False,0.805,0.027,0.861,0.037,0.928,0.03,0.878,0.028,0.859,0.022,0.843,0.047,0.714,0.086,0.547,0.06,0.794,0.816
svm_unscaled_color_haralick_no_norm_201img_400x_seed_42,svm,400x,color_haralick,,201,201,False,0.772,0.044,0.841,0.045,0.815,0.076,0.767,0.05,0.772,0.048,0.783,0.077,0.762,0.068,0.548,0.089,0.754,0.79
svm_unscaled_color_haralick_no_norm_20img_100x_seed_42,svm,100x,color_haralick,,20,20,False,0.611,0.124,0.602,0.192,0.725,0.139,0.432,0.408,0.388,0.364,0.39,0.396,0.833,0.236,0.25,0.268,0.56,0.663
svm_unscaled_color_haralick_no_norm_20img_400x_seed_42,svm,400x,color_haralick,,20,20,False,0.453,0.144,0.444,0.216,0.59,0.151,0.201,0.268,0.195,0.269,0.2,0.298,0.71,0.309,-0.104,0.312,0.394,0.512
svm_unscaled_color_haralick_no_norm_89img_100x_seed_42,svm,100x,color_haralick,,89,89,False,0.763,0.063,0.836,0.064,0.852,0.065,0.789,0.074,0.75,0.074,0.723,0.107,0.801,0.09,0.532,0.126,0.738,0.789
svm_unscaled_color_haralick_no_norm_full_100x_seed_42,svm,100x,color_haralick,,89,439,False,0.778,0.035,0.86,0.033,0.968,0.012,0.946,0.02,0.853,0.027,0.779,0.052,0.776,0.095,0.451,0.055,0.764,0.792
svm_unscaled_color_haralick_no_norm_full_400x_seed_42,svm,400x,color_haralick,,201,495,False,0.805,0.027,0.861,0.037,0.928,0.03,0.878,0.028,0.859,0.022,0.843,0.047,0.714,0.086,0.547,0.06,0.794,0.816
svm_unscaled_color_haralick_reinhard_201img_400x_seed_42,svm,400x,color_haralick,reinhard,201,201,False,0.772,0.044,0.841,0.045,0.815,0.076,0.767,0.05,0.772,0.048,0.783,0.077,0.762,0.068,0.548,0.089,0.754,0.79
svm_unscaled_color_haralick_reinhard_20img_100x_seed_42,svm,100x,color_haralick,reinhard,20,20,False,0.611,0.124,0.602,0.192,0.725,0.139,0.432,0.408,0.388,0.364,0.39,0.396,0.833,0.236,0.25,0.268,0.56,0.663
svm_unscaled_color_haralick_reinhard_20img_400x_seed_42,svm,400x,color_haralick,reinhard,20,20,False,0.453,0.144,0.444,0.216,0.59,0.151,0.201,0.268,0.195,0.269,0.2,0.298,0.71,0.309,-0.104,0.312,0.394,0.512
svm_unscaled_color_haralick_reinhard_89img_100x_seed_42,svm,100x,color_haralick,reinhard,89,89,False,0.763,0.063,0.836,0.064,0.852,0.065,0.789,0.074,0.75,0.074,0.723,0.107,0.801,0.09,0.532,0.126,0.738,0.789
svm_unscaled_color_haralick_reinhard_full_100x_seed_42,svm,100x,color_haralick,reinhard,89,439,False,0.778,0.035,0.86,0.033,0.968,0.012,0.946,0.02,0.853,0.027,0.779,0.052,0.776,0.095,0.451,0.055,0.764,0.792
svm_unscaled_color_haralick_reinhard_full_400x_seed_42,svm,400x,color_haralick,reinhard,201,495,False,0.805,0.027,0.861,0.037,0.928,0.03,0.878,0.028,0.859,0.022,0.843,0.047,0.714,0.086,0.547,0.06,0.794,0.816
svm_unscaled_color_lbp_no_norm_201img_400x_seed_42,svm,400x,color_lbp,,201,201,False,0.765,0.045,0.833,0.045,0.804,0.077,0.761,0.052,0.764,0.05,0.772,0.079,0.758,0.069,0.534,0.089,0.746,0.783
svm_unscaled_color_lbp_no_norm_20img_100x_seed_42,svm,100x,color_lbp,,20,20,False,0.606,0.115,0.598,0.195,0.73,0.128,0.422,0.397,0.383,0.359,0.39,0.396,0.823,0.234,0.239,0.251,0.559,0.654
svm_unscaled_color_lbp_no_norm_20img_400x_seed_42,svm,400x,color_lbp,,20,20,False,0.449,0.133,0.418,0.216,0.576,0.148,0.177,0.256,0.168,0.251,0.17,0.277,0.73,0.311,-0.113,0.277,0.394,0.503
svm_unscaled_color_lbp_no_norm_89img_100x_seed_42,svm,100x,color_lbp,,89,89,False,0.758,0.064,0.835,0.064,0.851,0.065,0.781,0.08,0.745,0.075,0.72,0.106,0.792,0.096,0.52,0.128,0.731,0.784
svm_unscaled_color_lbp_no_norm_full_100x_seed_42,svm,100x,color_lbp,,89,439,False,0.774,0.036,0.859,0.032,0.967,0.011,0.946,0.021,0.85,0.028,0.773,0.053,0.778,0.098,0.447,0.059,0.759,0.789
svm_unscaled_color_lbp_no_norm_full_400x_seed_42,svm,400x,color_lbp,,201,495,False,0.792,0.032,0.843,0.04,0.916,0.033,0.866,0.03,0.849,0.027,0.836,0.058,0.685,0.093,0.515,0.067,0.779,0.805
svm_unscaled_color_lbp_reinhard_201img_400x_seed_42,svm,400x,color_lbp,reinhard,201,201,False,0.765,0.045,0.833,0.045,0.804,0.077,0.761,0.052,0.764,0.05,0.772,0.079,0.758,0.069,0.534,0.089,0.746,0.783
svm_unscaled_color_lbp_reinhard_20img_100x_seed_42,svm,100x,color_lbp,reinhard,20,20,False,0.606,0.115,0.598,0.195,0.73,0.128,0.422,0.397,0.383,0.359,0.39,0.396,0.823,0.234,0.239,0.251,0.559,0.654
svm_unscaled_color_lbp_reinhard_20img_400x_seed_42,svm,400x,color_lbp,reinhard,20,20,False,0.449,0.133,0.418,0.216,0.576,0.148,0.177,0.256,0.168,0.251,0.17,0.277,0.73,0.311,-0.113,0.277,0.394,0.503
svm_unscaled_color_lbp_reinhard_89img_100x_seed_42,svm,100x,color_lbp,reinhard,89,89,False,0.758,0.064,0.835,0.064,0.851,0.065,0.781,0.08,0.745,0.075,0.72,0.106,0.792,0.096,0.52,0.128,0.731,0.784
svm_unscaled_color_lbp_reinhard_full_100x_seed_42,svm,100x,color_lbp,reinhard,89,439,False,0.774,0.036,0.859,0.032,0.967,0.011,0.946,0.021,0.85,0.028,0.773,0.053,0.778,0.098,0.447,0.059,0.759,0.789
svm_unscaled_color_lbp_reinhard_full_400x_seed_42,svm,400x,color_lbp,reinhard,201,495,False,0.792,0.032,0.843,0.04,0.916,0.033,0.866,0.03,0.849,0.027,0.836,0.058,0.685,0.093,0.515,0.067,0.779,0.805
svm_unscaled_color_no_norm_201img_400x_seed_42,svm,400x,color,,201,201,False,0.764,0.045,0.833,0.045,0.804,0.077,0.76,0.052,0.764,0.05,0.772,0.079,0.757,0.069,0.533,0.089,0.746,0.783
svm_unscaled_color_no_norm_20img_100x_seed_42,svm,100x,color,,20,20,False,0.596,0.113,0.584,0.204,0.711,0.137,0.392,0.399,0.353,0.358,0.36,0.396,0.833,0.236,0.219,0.249,0.55,0.643
svm_unscaled_color_no_norm_20img_400x_seed_42,svm,400x,color,,20,20,False,0.454,0.135,0.417,0.215,0.571,0.142,0.204,0.271,0.191,0.261,0.19,0.282,0.717,0.306,-0.106,0.281,0.399,0.51
svm_unscaled_color_no_norm_89img_100x_seed_42,svm,100x,color,,89,89,False,0.757,0.064,0.832,0.061,0.848,0.062,0.784,0.082,0.742,0.076,0.716,0.112,0.794,0.099,0.519,0.128,0.73,0.783
svm_unscaled_color_no_norm_full_100x_seed_42,svm,100x,color,,89,439,False,0.774,0.036,0.859,0.032,0.967,0.011,0.946,0.021,0.85,0.028,0.773,0.053,0.778,0.098,0.447,0.059,0.759,0.789
svm_unscaled_color_no_norm_full_400x_seed_42,svm,400x,color,,201,495,False,0.792,0.032,0.843,0.04,0.916,0.033,0.866,0.03,0.849,0.027,0.836,0.058,0.685,0.093,0.515,0.067,0.779,0.805
svm_unscaled_color_reinhard_201img_400x_seed_42,svm,400x,color,reinhard,201,201,False,0.764,0.045,0.833,0.045,0.804,0.077,0.76,0.052,0.764,0.05,0.772,0.079,0.757,0.069,0.533,0.089,0.746,0.783
svm_unscaled_color_reinhard_20img_100x_seed_42,svm,100x,color,reinhard,20,20,False,0.596,0.113,0.584,0.204,0.711,0.137,0.392,0.399,0.353,0.358,0.36,0.396,0.833,0.236,0.219,0.249,0.55,0.643
svm_unscaled_color_reinhard_20img_400x_seed_42,svm,400x,color,reinhard,20,20,False,0.454,0.135,0.417,0.215,0.571,0.142,0.204,0.271,0.191,0.261,0.19,0.282,0.717,0.306,-0.106,0.281,0.399,0.51
svm_unscaled_color_reinhard_89img_100x_seed_42,svm,100x,color,reinhard,89,89,False,0.757,0.064,0.832,0.061,0.848,0.062,0.784,0.082,0.742,0.076,0.716,0.112,0.794,0.099,0.519,0.128,0.73,0.783
svm_unscaled_color_reinhard_full_100x_seed_42,svm,100x,color,reinhard,89,439,False,0.774,0.036,0.859,0.032,0.967,0.011,0.946,0.021,0.85,0.028,0.773,0.053,0.778,0.098,0.447,0.059,0.759,0.789
svm_unscaled_color_reinhard_full_400x_seed_42,svm,400x,color,reinhard,201,495,False,0.792,0.032,0.843,0.04,0.916,0.033,0.866,0.03,0.849,0.027,0.836,0.058,0.685,0.093,0.515,0.067,0.779,0.805
svm_unscaled_haralick_no_norm_201img_400x_seed_42,svm,400x,haralick,,201,201,False,0.609,0.05,0.636,0.055,0.639,0.063,0.594,0.048,0.632,0.052,0.68,0.087,0.54,0.084,0.224,0.103,0.589,0.63
svm_unscaled_haralick_no_norm_20img_100x_seed_42,svm,100x,haralick,,20,20,False,0.411,0.129,0.605,0.192,0.709,0.142,0.176,0.222,0.193,0.251,0.22,0.3,0.597,0.396,-0.203,0.279,0.357,0.464
svm_unscaled_haralick_no_norm_20img_400x_seed_42,svm,400x,haralick,,20,20,False,0.55,0.084,0.495,0.233,0.625,0.155,0.335,0.31,0.359,0.332,0.4,0.382,0.683,0.342,0.086,0.189,0.515,0.585
svm_unscaled_haralick_no_norm_89img_100x_seed_42,svm,100x,haralick,,89,89,False,0.659,0.092,0.722,0.097,0.731,0.094,0.64,0.087,0.684,0.084,0.741,0.108,0.579,0.128,0.328,0.186,0.621,0.697
svm_unscaled_haralick_no_norm_full_100x_seed_42,svm,100x,haralick,,89,439,False,0.743,0.042,0.776,0.055,0.945,0.014,0.914,0.027,0.831,0.032,0.764,0.051,0.639,0.13,0.33,0.102,0.726,0.761
svm_unscaled_haralick_no_norm_full_400x_seed_42,svm,400x,haralick,,201,495,False,0.657,0.035,0.681,0.037,0.834,0.024,0.805,0.025,0.736,0.032,0.68,0.047,0.603,0.061,0.264,0.066,0.643,0.672
svm_unscaled_haralick_reinhard_201img_400x_seed_42,svm,400x,haralick,reinhard,201,201,False,0.609,0.05,0.636,0.055,0.639,0.063,0.594,0.048,0.632,0.052,0.68,0.087,0.54,0.084,0.224,0.103,0.589,0.63
svm_unscaled_haralick_reinhard_20img_100x_seed_42,svm,100x,haralick,reinhard,20,20,False,0.411,0.129,0.605,0.192,0.709,0.142,0.176,0.222,0.193,0.251,0.22,0.3,0.597,0.396,-0.203,0.279,0.357,0.464
svm_unscaled_haralick_reinhard_20img_400x_seed_42,svm,400x,haralick,reinhard,20,20,False,0.55,0.084,0.495,0.233,0.625,0.155,0.335,0.31,0.359,0.332,0.4,0.382,0.683,0.342,0.086,0.189,0.515,0.585
svm_unscaled_haralick_reinhard_89img_100x_seed_42,svm,100x,haralick,reinhard,89,89,False,0.659,0.092,0.722,0.097,0.731,0.094,0.64,0.087,0.684,0.084,0.741,0.108,0.579,0.128,0.328,0.186,0.621,0.697
