experiment,model,magnification,feature_set,stain_normalization,num_normal,num_tumour,use_scaling,accuracy_mean,accuracy_std,auc_mean,auc_std,pr_auc_mean,pr_auc_std,precision_mean,precision_std,f1_score_mean,f1_score_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,mcc_mean,mcc_std,accuracy_ci_low,accuracy_ci_high
rf_unscaled_color_haralick_reinhard_full_100x_seed_42,rf,100x,color_haralick,reinhard,89,439,False,0.877,0.021,0.887,0.033,0.972,0.013,0.894,0.016,0.929,0.012,0.966,0.02,0.433,0.103,0.499,0.101,0.868,0.885
rf_unscaled_color_haralick_reinhard_full_400x_seed_42,rf,400x,color_haralick,reinhard,201,495,False,0.842,0.024,0.868,0.031,0.926,0.022,0.848,0.023,0.895,0.016,0.947,0.021,0.59,0.071,0.601,0.065,0.832,0.852
rf_unscaled_color_lbp_no_norm_201img_400x_seed_42,rf,400x,color_lbp,,201,201,False,0.751,0.044,0.822,0.047,0.8,0.06,0.737,0.047,0.756,0.046,0.778,0.063,0.724,0.056,0.505,0.09,0.733,0.77
rf_unscaled_color_lbp_no_norm_20img_100x_seed_42,rf,100x,color_lbp,,20,20,False,0.713,0.129,0.83,0.148,0.864,0.13,0.736,0.163,0.7,0.178,0.71,0.236,0.713,0.198,0.442,0.271,0.66,0.766
rf_unscaled_color_lbp_no_norm_20img_400x_seed_42,rf,400x,color_lbp,,20,20,False,0.494,0.141,0.484,0.19,0.606,0.117,0.528,0.149,0.514,0.141,0.55,0.217,0.43,0.279,-0.015,0.321,0.435,0.552
rf_unscaled_color_lbp_no_norm_89img_100x_seed_42,rf,100x,color_lbp,,89,89,False,0.762,0.056,0.845,0.06,0.86,0.055,0.798,0.081,0.744,0.073,0.709,0.119,0.813,0.089,0.534,0.114,0.739,0.785
rf_unscaled_color_lbp_no_norm_full_100x_seed_42,rf,100x,color_lbp,,89,439,False,0.87,0.023,0.893,0.038,0.976,0.01,0.883,0.018,0.925,0.013,0.972,0.019,0.364,0.111,0.453,0.113,0.86,0.879
rf_unscaled_color_lbp_no_norm_full_400x_seed_42,rf,400x,color_lbp,,201,495,False,0.807,0.029,0.839,0.036,0.908,0.029,0.807,0.026,0.876,0.017,0.958,0.021,0.446,0.094,0.5,0.086,0.796,0.819
rf_unscaled_color_lbp_reinhard_201img_400x_seed_42,rf,400x,color_lbp,reinhard,201,201,False,0.751,0.044,0.822,0.047,0.8,0.06,0.737,0.047,0.756,0.046,0.778,0.063,0.724,0.056,0.505,0.09,0.733,0.77
rf_unscaled_color_lbp_reinhard_20img_100x_seed_42,rf,100x,color_lbp,reinhard,20,20,False,0.713,0.129,0.83,0.148,0.864,0.13,0.736,0.163,0.7,0.178,0.71,0.236,0.713,0.198,0.442,0.271,0.66,0.766
rf_unscaled_color_lbp_reinhard_20img_400x_seed_42,rf,400x,color_lbp,reinhard,20,20,False,0.494,0.141,0.484,0.19,0.606,0.117,0.528,0.149,0.514,0.141,0.55,0.217,0.43,0.279,-0.015,0.321,0.435,0.552
rf_unscaled_color_lbp_reinhard_89img_100x_seed_42,rf,100x,color_lbp,reinhard,89,89,False,0.762,0.056,0.845,0.06,0.86,0.055,0.798,0.081,0.744,0.073,0.709,0.119,0.813,0.089,0.534,0.114,0.739,0.785
rf_unscaled_color_lbp_reinhard_full_100x_seed_42,rf,100x,color_lbp,reinhard,89,439,False,0.87,0.023,0.893,0.038,0.976,0.01,0.883,0.018,0.925,0.013,0.972,0.019,0.364,0.111,0.453,0.113,0.86,0.879
rf_unscaled_color_lbp_reinhard_full_400x_seed_42,rf,400x,color_lbp,reinhard,201,495,False,0.807,0.029,0.839,0.036,0.908,0.029,0.807,0.026,0.876,0.017,0.958,0.021,0.446,0.094,0.5,0.086,0.796,0.819
rf_unscaled_color_no_norm_201img_400x_seed_42,rf,400x,color,,201,201,False,0.757,0.057,0.841,0.055,0.841,0.063,0.784,0.071,0.743,0.064,0.711,0.084,0.803,0.072,0.52,0.115,0.734,0.781
rf_unscaled_color_no_norm_20img_100x_seed_42,rf,100x,color,,20,20,False,0.709,0.131,0.795,0.158,0.86,0.107,0.791,0.195,0.684,0.175,0.67,0.247,0.75,0.255,0.459,0.264,0.655,0.763
rf_unscaled_color_no_norm_20img_400x_seed_42,rf,400x,color,,20,20,False,0.497,0.17,0.568,0.217,0.646,0.146,0.495,0.203,0.467,0.208,0.46,0.236,0.537,0.206,-0.009,0.354,0.427,0.567
rf_unscaled_color_no_norm_89img_100x_seed_42,rf,100x,color,,89,89,False,0.755,0.072,0.824,0.056,0.828,0.064,0.784,0.085,0.737,0.091,0.705,0.123,0.804,0.085,0.516,0.145,0.726,0.785
rf_unscaled_color_no_norm_full_100x_seed_42,rf,100x,color,,89,439,False,0.868,0.024,0.849,0.046,0.961,0.015,0.894,0.026,0.923,0.014,0.955,0.022,0.438,0.159,0.465,0.125,0.858,0.878
rf_unscaled_color_no_norm_full_400x_seed_42,rf,400x,color,,201,495,False,0.825,0.031,0.846,0.038,0.914,0.026,0.843,0.024,0.882,0.021,0.924,0.025,0.586,0.071,0.556,0.083,0.812,0.838
rf_unscaled_color_reinhard_201img_400x_seed_42,rf,400x,color,reinhard,201,201,False,0.757,0.057,0.841,0.055,0.841,0.063,0.784,0.071,0.743,0.064,0.711,0.084,0.803,0.072,0.52,0.115,0.734,0.781
